title,type,question,A,B,C,D,answer,image
F4 Chp 10,radio,Melaka2024_Q15,A,B,C,D,B,Melaka 2024/Picture15.png
F4 Chp 10,radio,Pahang2024_Q15,A,B,C,D,A,Pahang 2024/Picture15.png
F4 Chp 10,radio,Pahang2024_Q16,A,B,C,D,D,Pahang 2024/Picture16.png
F4 Chp 10,radio,Kedah2024_Q17,A,B,C,D,A,Kedah 2024/Picture17.png
F4 Chp 10,radio,PenangSet12024_Q17,A,B,C,D,D,Penang Set 1 2024/Picture17.png
F4 Chp 10,radio,PenangSet22024_Q17,A,B,C,D,C,Penang Set 2 2024/Picture17.png
F4 Chp 10,radio,SelangorSet12024_Q17,A,B,C,D,C,Selangor Set 1 2024/Picture17.png
F4 Chp 10,radio,SelangorSet22024_Q17,A,B,C,D,A,Selangor Set 2 2024/Picture17.png
F4 Chp 10,radio,Kedah2024_Q18,A,B,C,D,B,Kedah 2024/Picture18.png
F4 Chp 10,radio,NegeriSembilan2024_Q18,A,B,C,D,C,Negeri Sembilan 2024/Picture18.png
F4 Chp 10,radio,PenangSet12024_Q18,A,B,C,D,C,Penang Set 1 2024/Picture18.png
F4 Chp 10,radio,PenangSet22024_Q18,A,B,C,D,C,Penang Set 2 2024/Picture18.png
F4 Chp 10,radio,SelangorSet12024_Q18,A,B,C,D,C,Selangor Set 1 2024/Picture18.png
F4 Chp 10,radio,SelangorSet22024_Q18,A,B,C,D,D,Selangor Set 2 2024/Picture18.png
F4 Chp 10,radio,Kedah2024_Q19,A,B,C,D,D,Kedah 2024/Picture19.png
F4 Chp 10,radio,Kelantan2024_Q19,A,B,C,D,A,Kelantan 2024/Picture19.png
F4 Chp 10,radio,KelantanYik2024_Q19,A,B,C,D,A,Kelantan YIK 2024/Picture19.png
F4 Chp 10,radio,Perak2024_Q19,A,B,C,D,D,Perak 2024/Picture19.png
F4 Chp 10,radio,KelantanYik2024_Q20,A,B,C,D,B,Kelantan YIK 2024/Picture20.png
F4 Chp 10,radio,Smka2024_Q20,A,B,C,D,B,SMKA 2024/Picture20.png
F4 Chp 10,radio,Smka2024_Q21,A,B,C,D,C,SMKA 2024/Picture21.png
