title,type,question,A,B,C,D,answer,image
F4 Chp 6,radio,Muar2025_Q07,A,B,C,D,D,Muar 2025/Picture7.png
F4 Chp 6,radio,PasirGudang2025_Q07,A,B,C,D,C,Pasir Gudang 2025/Picture7.png
F4 Chp 6,radio,Muar2025_Q08,A,B,C,D,C,Muar 2025/Picture8.png
F4 Chp 6,radio,PasirGudang2025_Q08,A,B,C,D,C,Pasir Gudang 2025/Picture8.png
F4 Chp 6,radio,Kelantan2025_Q09,A,B,C,D,B,Kelantan 2025/Picture9.png
F4 Chp 6,radio,Melaka2025_Q09,A,B,C,D,D,Melaka 2025/Picture9.png
F4 Chp 6,radio,Perak2025_Q09,A,B,C,D,D,Perak 2025/Picture9.png
F4 Chp 6,radio,Kelantan2025_Q10,A,B,C,D,A,Kelantan 2025/Picture10.png
F4 Chp 6,radio,Melaka2025_Q10,A,B,C,D,D,Melaka 2025/Picture10.png
F4 Chp 6,radio,NegeriSembilan2025_Q10,A,B,C,D,D,Negeri Sembilan 2025/Picture10.png
F4 Chp 6,radio,Perak2025_Q10,A,B,C,D,B,Perak 2025/Picture10.png
F4 Chp 6,radio,Kedah2025_Q11,A,B,C,D,B,Kedah 2025/Picture11.png
F4 Chp 6,radio,Pahang2025_Q11,A,B,C,D,C,Pahang 2025/Picture11.png
F4 Chp 6,radio,Kedah2025_Q12,A,B,C,D,A,Kedah 2025/Picture12.png
F4 Chp 6,radio,KualaLumpur2025_Q12,A,B,C,D,C,Kuala Lumpur 2025/Picture12.png
F4 Chp 6,radio,Perlis2025_Q12,A,B,C,D,C,Perlis 2025/Picture12.png
F4 Chp 6,radio,Putrajaya2025_Q12,A,B,C,D,A,Putrajaya 2025/Picture12.png
F4 Chp 6,radio,Selangor2025_Q12,A,B,C,D,C,Selangor 2025/Picture12.png
F4 Chp 6,radio,KualaLumpur2025_Q13,A,B,C,D,A,Kuala Lumpur 2025/Picture13.png
F4 Chp 6,radio,Perlis2025_Q13,A,B,C,D,D,Perlis 2025/Picture13.png
F4 Chp 6,radio,Putrajaya2025_Q13,A,B,C,D,D,Putrajaya 2025/Picture13.png
F4 Chp 6,radio,Selangor2025_Q13,A,B,C,D,B,Selangor 2025/Picture13.png
