title,type,question,A,B,C,D,answer,image
Johor 2025 F5,radio,F5 Bab 1,A,B,C,D,D,Picture26.png
,radio,F5 Bab 1,A,B,C,D,C,Picture27.png
,radio,F5 Bab 2,A,B,C,D,D,Picture28.png
,radio,F5 Bab 2,A,B,C,D,B,Picture29.png
,radio,F5 Bab 2,A,B,C,D,C,Picture30.png
,radio,F5 Bab 3,A,B,C,D,B,Picture31.png
,radio,F5 Bab 4,A,B,C,D,A,Picture32.png
,radio,F5 Bab 4,A,B,C,D,B,Picture33.png
,radio,F5 Bab 5,A,B,C,D,C,Picture34.png
,radio,F5 Bab 5,A,B,C,D,D,Picture35.png
,radio,F5 Bab 5,A,B,C,D,D,Picture36.png
,radio,F5 Bab 6,A,B,C,D,D,Picture37.png
,radio,F5 Bab 7,A,B,C,D,B,Picture38.png
,radio,F5 Bab 8,A,B,C,D,D,Picture39.png
,radio,F5 Bab 9,A,B,C,D,C,Picture40.png
