title,type,question,A,B,C,D,answer,image
Penang 2025 F4,radio,F4 Bab 1,A,B,C,D,D,Picture1.png
,radio,F4 Bab 1,A,B,C,D,A,Picture2.png
,radio,F4 Bab 2,A,B,C,D,B,Picture3.png
,radio,F4 Bab 2,A,B,C,D,C,Picture4.png
,radio,F4 Bab 3,A,B,C,D,D,Picture5.png
,radio,F4 Bab 3,A,B,C,D,C,Picture6.png
,radio,F4 Bab 4,A,B,C,D,C,Picture7.png
,radio,F4 Bab 4,A,B,C,D,A,Picture8.png
,radio,F4 Bab 5,A,B,C,D,A,Picture9.png
,radio,F4 Bab 5,A,B,C,D,A,Picture10.png
,radio,F4 Bab 5,A,B,C,D,B,Picture11.png
,radio,F4 Bab 6,A,B,C,D,C,Picture12.png
,radio,F4 Bab 7,A,B,C,D,B,Picture13.png
,radio,F4 Bab 8,A,B,C,D,D,Picture14.png
,radio,F4 Bab 8,A,B,C,D,C,Picture15.png
,radio,F4 Bab 9,A,B,C,D,A,Picture16.png
,radio,F4 Bab 10,A,B,C,D,D,Picture17.png
,radio,F4 Bab 10,A,B,C,D,C,Picture18.png
,radio,F4 Bab 11,A,B,C,D,C,Picture19.png
,radio,F4 Bab 11,A,B,C,D,A,Picture20.png
,radio,F4 Bab 12,A,B,C,D,C,Picture21.png
,radio,F4 Bab 12,A,B,C,D,B,Picture22.png
