title,type,question,A,B,C,D,answer,image
Putrajaya 2025 F5,radio,F5 Chp 1,A,B,C,D,D,Picture26.png
,radio,F5 Chp 1,A,B,C,D,C,Picture27.png
,radio,F5 Chp 1,A,B,C,D,D,Picture28.png
,radio,F5 Chp 2,A,B,C,D,C,Picture29.png
,radio,F5 Chp 2,A,B,C,D,C,Picture30.png
,radio,F5 Chp 3,A,B,C,D,A,Picture31.png
,radio,F5 Chp 3,A,B,C,D,A,Picture32.png
,radio,F5 Chp 4,A,B,C,D,A,Picture33.png
,radio,F5 Chp 4,A,B,C,D,C,Picture34.png
,radio,F5 Chp 5,A,B,C,D,C,Picture35.png
,radio,F5 Chp 5,A,B,C,D,A,Picture36.png
,radio,F5 Chp 6,A,B,C,D,C,Picture37.png
,radio,F5 Chp 7,A,B,C,D,B,Picture38.png
,radio,F5 Chp 8,A,B,C,D,C,Picture39.png
,radio,F5 Chp 9,A,B,C,D,A,Picture40.png
