title,type,question,A,B,C,D,answer,image
Perak 2026 F5,radio,F5 Bab 1,A,B,C,D,D,Picture24.png
,radio,F5 Bab 1,A,B,C,D,A,Picture25.png
,radio,F5 Bab 2,A,B,C,D,A,Picture26.png
,radio,F5 Bab 2,A,B,C,D,A,Picture27.png
,radio,F5 Bab 2,A,B,C,D,B,Picture28.png
,radio,F5 Bab 3,A,B,C,D,A,Picture29.png
,radio,F5 Bab 3,A,B,C,D,C,Picture30.png
,radio,F5 Bab 4,A,B,C,D,C,Picture31.png
,radio,F5 Bab 4,A,B,C,D,C,Picture32.png
,radio,F5 Bab 5,A,B,C,D,D,Picture33.png
,radio,F5 Bab 5,A,B,C,D,A,Picture34.png
,radio,F5 Bab 5,A,B,C,D,B,Picture35.png
,radio,F5 Bab 6,A,B,C,D,A,Picture36.png
,radio,F5 Bab 6,A,B,C,D,D,Picture37.png
,radio,F5 Bab 7,A,B,C,D,D,Picture38.png
,radio,F5 Bab 8,A,B,C,D,C,Picture39.png
,checkbox,F5 Bab 9,A,B,C,D,"A,D",Picture40.png
