﻿title,type,question,A,B,C,D,answer,image
Selangor 2026,radio,F4 Bab 1,A,B,C,D,B,Picture1.png
,radio,F4 Bab 1,A,B,C,D,C,Picture2.png
,radio,F4 Bab 2,A,B,C,D,A,Picture3.png
,radio,F4 Bab 3,A,B,C,D,D,Picture4.png
,radio,F4 Bab 3,A,B,C,D,C,Picture5.png
,radio,F4 Bab 4,A,B,C,D,A,Picture6.png
,radio,F4 Bab 4,A,B,C,D,C,Picture7.png
,radio,F4 Bab 5,A,B,C,D,B,Picture9.png
,radio,F4 Bab 5,A,B,C,D,C,Picture10.png
,radio,F4 Bab 5,A,B,C,D,D,Picture11.png
,radio,F4 Bab 6,A,B,C,D,B,Picture12.png
,radio,F4 Bab 6,A,B,C,D,A,Picture13.png
,radio,F4 Bab 7,A,B,C,D,C,Picture14.png
,radio,F4 Bab 8,A,B,C,D,B,Picture15.png
,radio,F4 Bab 9,A,B,C,D,C,Picture16.png
,radio,F4 Bab 10,A,B,C,D,D,Picture17.png
,radio,F4 Bab 10,A,B,C,D,C,Picture18.png
,radio,F4 Bab 11,A,B,C,D,D,Picture19.png
,radio,F4 Bab 12,A,B,C,D,B,Picture20.png
,radio,F5 Bab 1,A,B,C,D,A,Picture21.png
,radio,F5 Bab 1,A,B,C,D,C,Picture22.png
,radio,F5 Bab 2,A,B,C,D,A,Picture23.png
,radio,F5 Bab 2,A,B,C,D,D,Picture24.png
,radio,F5 Bab 2,A,B,C,D,B,Picture25.png
,radio,F5 Bab 2,A,B,C,D,A,Picture26.png
,radio,F5 Bab 3,A,B,C,D,B,Picture27.png
,radio,F5 Bab 3,A,B,C,D,A,Picture28.png
,radio,F5 Bab 4,A,B,C,D,C,Picture29.png
,radio,F5 Bab 4,A,B,C,D,D,Picture30.png
,radio,F5 Bab 5,A,B,C,D,B,Picture31.png
,radio,F5 Bab 5,A,B,C,D,A,Picture32.png
,radio,F5 Bab 5,A,B,C,D,D,Picture33.png
,radio,F5 Bab 5,A,B,C,D,B,Picture34.png
,radio,F5 Bab 6,A,B,C,D,C,Picture35.png
,radio,F5 Bab 7,A,B,C,D,D,Picture36.png
,radio,F5 Bab 7,A,B,C,D,B,Picture37.png
,radio,F5 Bab 8,A,B,C,D,D,Picture38.png
,radio,F5 Bab 9,A,B,C,D,D,Picture39.png
,radio,F5 Bab 9,A,B,C,D,A,Picture40.png
