title,type,question,A,B,C,D,answer,image
F4 Chp 3 2025,radio,Kedah_Q01,A,B,C,D,D,Kedah_Q01.png
,radio,Kedah_Q02,A,B,C,D,D,Kedah_Q02.png
,radio,Kelantan_Q01,A,B,C,D,C,Kelantan_Q01.png
,radio,Melaka_Q01,A,B,C,D,A,Melaka_Q01.png
,radio,Muar_Q01,A,B,C,D,D,Muar_Q01.png
,radio,Pahang_Q01,A,B,C,D,D,Pahang_Q01.png
,radio,Pahang_Q02,A,B,C,D,B,Pahang_Q02.png
,radio,PasirGudang_Q01,A,B,C,D,B,PasirGudang_Q01.png
,radio,Perak_Q01,A,B,C,D,A,Perak_Q01.png
,radio,Perlis_Q01,A,B,C,D,C,Perlis_Q01.png
,radio,Perlis_Q02,A,B,C,D,D,Perlis_Q02.png
,radio,Selangor_Q01,A,B,C,D,C,Selangor_Q01.png
,radio,Selangor_Q02,A,B,C,D,C,Selangor_Q02.png
