title,type,question,A,B,C,D,answer,image
Kelantan 2024 F5,radio,F5 Chp 1,A,B,C,D,A,Picture24.png
,radio,F5 Chp 1,A,B,C,D,D,Picture25.png
,radio,F5 Chp 2,A,B,C,D,B,Picture26.png
,radio,F5 Chp 2,A,B,C,D,C,Picture27.png
,radio,F5 Chp 2,A,B,C,D,A,Picture28.png
,radio,F5 Chp 3,A,B,C,D,C,Picture29.png
,radio,F5 Chp 4,A,B,C,D,B,Picture30.png
,radio,F5 Chp 4,A,B,C,D,B,Picture31.png
,radio,F5 Chp 5,A,B,C,D,D,Picture32.png
,radio,F5 Chp 5,A,B,C,D,A,Picture33.png
,radio,F5 Chp 6,A,B,C,D,D,Picture34.png
,radio,F5 Chp 6,A,B,C,D,B,Picture35.png
,radio,F5 Chp 7,A,B,C,D,A,Picture36.png
,radio,F5 Chp 7,A,B,C,D,B,Picture37.png
,radio,F5 Chp 8,A,B,C,D,D,Picture38.png
,radio,F5 Chp 8,A,B,C,D,C,Picture39.png
,radio,F5 Chp 9,A,B,C,D,C,Picture40.png
