title,type,question,A,B,C,D,answer,image
Kelantan 2025,radio,F4 Chp 1,A,B,C,D,A,Picture1.png
,radio,F4 Chp 1,A,B,C,D,C,Picture2.png
,radio,F4 Chp 2,A,B,C,D,B,Picture3.png
,radio,F4 Chp 2,A,B,C,D,D,Picture4.png
,radio,F4 Chp 3,A,B,C,D,C,Picture5.png
,radio,F4 Chp 4,A,B,C,D,A,Picture6.png
,radio,F4 Chp 4,A,B,C,D,C,Picture7.png
,radio,F4 Chp 5,A,B,C,D,D,Picture8.png
,radio,F4 Chp 6,A,B,C,D,B,Picture9.png
,radio,F4 Chp 6,A,B,C,D,A,Picture10.png
,radio,F4 Chp 7,A,B,C,D,A,Picture11.png
,radio,F4 Chp 7,A,B,C,D,C,Picture12.png
,radio,F4 Chp 8,A,B,C,D,D,Picture13.png
,radio,F4 Chp 8,A,B,C,D,B,Picture14.png
,radio,F4 Chp 9,A,B,C,D,D,Picture15.png
,radio,F4 Chp 9,A,B,C,D,A,Picture16.png
,radio,F4 Chp 10,A,B,C,D,B,Picture17.png
,radio,F4 Chp 10,A,B,C,D,D,Picture18.png
,radio,F4 Chp 11,A,B,C,D,D,Picture19.png
,radio,F4 Chp 11,A,B,C,D,C,Picture20.png
,radio,F4 Chp 12,A,B,C,D,C,Picture21.png
,radio,F4 Chp 12,A,B,C,D,A,Picture22.png
,radio,F5 Chp 1,A,B,C,D,A,Picture23.png
,radio,F5 Chp 1,A,B,C,D,B,Picture24.png
,radio,F5 Chp 2,A,B,C,D,D,Picture25.png
,radio,F5 Chp 2,A,B,C,D,C,Picture26.png
,radio,F5 Chp 3,A,B,C,D,D,Picture27.png
,radio,F5 Chp 3,A,B,C,D,D,Picture28.png
,radio,F5 Chp 4,A,B,C,D,A,Picture29.png
,radio,F5 Chp 4,A,B,C,D,B,Picture30.png
,radio,F5 Chp 5,A,B,C,D,B,Picture31.png
,radio,F5 Chp 5,A,B,C,D,C,Picture32.png
,radio,F5 Chp 6,A,B,C,D,C,Picture33.png
,radio,F5 Chp 6,A,B,C,D,A,Picture34.png
,radio,F5 Chp 7,A,B,C,D,B,Picture35.png
,radio,F5 Chp 7,A,B,C,D,D,Picture36.png
,radio,F5 Chp 8,A,B,C,D,C,Picture37.png
,radio,F5 Chp 8,A,B,C,D,B,Picture38.png
,radio,F5 Chp 9,A,B,C,D,B,Picture39.png
,radio,F5 Chp 9,A,B,C,D,A,Picture40.png
