title,type,question,A,B,C,D,answer,image
Melaka 2024,radio,F4 Chp 1,A,B,C,D,A,Picture1.png
,radio,F4 Chp 2,A,B,C,D,C,Picture2.png
,radio,F4 Chp 3,A,B,C,D,B,Picture3.png
,radio,F4 Chp 4,A,B,C,D,A,Picture4.png
,radio,F4 Chp 5,A,B,C,D,D,Picture5.png
,radio,F4 Chp 5,A,B,C,D,C,Picture6.png
,radio,F4 Chp 6,A,B,C,D,B,Picture7.png
,radio,F4 Chp 6,A,B,C,D,B,Picture8.png
,radio,F4 Chp 7,A,B,C,D,B,Picture9.png
,radio,F4 Chp 7,A,B,C,D,C,Picture10.png
,radio,F4 Chp 8,A,B,C,D,C,Picture11.png
,radio,F4 Chp 8,A,B,C,D,A,Picture12.png
,radio,F4 Chp 8,A,B,C,D,A,Picture13.png
,radio,F4 Chp 9,A,B,C,D,D,Picture14.png
,radio,F4 Chp 10,A,B,C,D,B,Picture15.png
,radio,F4 Chp 11,A,B,C,D,A,Picture16.png
,radio,F4 Chp 11,A,B,C,D,C,Picture17.png
,radio,F4 Chp 11,A,B,C,D,D,Picture18.png
,radio,F4 Chp 12,A,B,C,D,A,Picture19.png
,radio,F4 Chp 12,A,B,C,D,B,Picture20.png
,radio,F5 Chp 1,A,B,C,D,C,Picture21.png
,radio,F5 Chp 1,A,B,C,D,B,Picture22.png
,radio,F5 Chp 1,A,B,C,D,A,Picture23.png
,radio,F5 Chp 2,A,B,C,D,C,Picture24.png
,radio,F5 Chp 2,A,B,C,D,D,Picture25.png
,radio,F5 Chp 2,A,B,C,D,D,Picture26.png
,radio,F5 Chp 2,A,B,C,D,C,Picture27.png
,radio,F5 Chp 3,A,B,C,D,B,Picture28.png
,radio,F5 Chp 3,A,B,C,D,C,Picture29.png
,radio,F5 Chp 3,A,B,C,D,C,Picture30.png
,radio,F5 Chp 4,A,B,C,D,D,Picture31.png
,radio,F5 Chp 4,A,B,C,D,A,Picture32.png
,radio,F5 Chp 5,A,B,C,D,B,Picture33.png
,radio,F5 Chp 5,A,B,C,D,D,Picture34.png
,radio,F5 Chp 5,A,B,C,D,A,Picture35.png
,radio,F5 Chp 6,A,B,C,D,D,Picture36.png
,radio,F5 Chp 7,A,B,C,D,B,Picture37.png
,radio,F5 Chp 7,A,B,C,D,D,Picture38.png
,radio,F5 Chp 8,A,B,C,D,A,Picture39.png
,radio,F5 Chp 9,A,B,C,D,D,Picture40.png
