title,type,question,A,B,C,D,answer,image
Muar 2025 F5,radio,F5 Chp 1,A,B,C,D,B,Picture21.png
,radio,F5 Chp 1,A,B,C,D,B,Picture22.png
,radio,F5 Chp 1,A,B,C,D,D,Picture23.png
,radio,F5 Chp 2,A,B,C,D,B,Picture24.png
,radio,F5 Chp 2,A,B,C,D,A,Picture25.png
,radio,F4 Chp 4,A,B,C,D,A,Picture26.png
,radio,F4 Chp 4,A,B,C,D,B,Picture27.png
,radio,F5 Chp 4,A,B,C,D,B,Picture28.png
,radio,F5 Chp 4,A,B,C,D,A,Picture29.png
,radio,F5 Chp 5,A,B,C,D,D,Picture30.png
,radio,F5 Chp 5,A,B,C,D,B,Picture31.png
,radio,F5 Chp 6,A,B,C,D,D,Picture32.png
,radio,F5 Chp 6,A,B,C,D,A,Picture33.png
,radio,F5 Chp 7,A,B,C,D,C,Picture34.png
,radio,F5 Chp 7,A,B,C,D,B,Picture35.png
,radio,F5 Chp 8,A,B,C,D,C,Picture36.png
,radio,F5 Chp 8,A,B,C,D,B,Picture37.png
,radio,F5 Chp 8,A,B,C,D,B,Picture38.png
,radio,F5 Chp 8,A,B,C,D,A,Picture39.png
,radio,F5 Chp 9,A,B,C,D,D,Picture40.png
