title,type,question,A,B,C,D,answer,image
Pahang 2025 F5,radio,F5 Chp 1,A,B,C,D,A,Picture21.png
,radio,F5 Chp 1,A,B,C,D,C,Picture22.png
,radio,F5 Chp 1,A,B,C,D,D,Picture23.png
,radio,F5 Chp 2,A,B,C,D,B,Picture24.png
,radio,F5 Chp 2,A,B,C,D,C,Picture25.png
,radio,F5 Chp 2,A,B,C,D,C,Picture26.png
,radio,F5 Chp 3,A,B,C,D,B,Picture27.png
,radio,F5 Chp 4,A,B,C,D,D,Picture28.png
,radio,F5 Chp 4,A,B,C,D,A,Picture29.png
,radio,F5 Chp 5,A,B,C,D,A,Picture30.png
,radio,F5 Chp 5,A,B,C,D,A,Picture31.png
,radio,F5 Chp 5,A,B,C,D,B,Picture32.png
,radio,F5 Chp 5,A,B,C,D,B,Picture33.png
,radio,F5 Chp 6,A,B,C,D,C,Picture34.png
,radio,F5 Chp 6,A,B,C,D,A,Picture35.png
,radio,F5 Chp 7,A,B,C,D,D,Picture36.png
,radio,F5 Chp 7,A,B,C,D,B,Picture37.png
,radio,F5 Chp 8,A,B,C,D,D,Picture38.png
,radio,F5 Chp 9,A,B,C,D,A,Picture39.png
,radio,F5 Chp 9,A,B,C,D,D,Picture40.png
