title,type,question,A,B,C,D,answer,image
Penang Set 1 2024 F5,radio,F5 Chp 1,A,B,C,D,C,Picture23.png
,radio,F5 Chp 1,A,B,C,D,D,Picture24.png
,radio,F5 Chp 2,A,B,C,D,A,Picture25.png
,radio,F5 Chp 2,A,B,C,D,A,Picture26.png
,radio,F5 Chp 2,A,B,C,D,C,Picture27.png
,radio,F5 Chp 2,A,B,C,D,B,Picture28.png
,radio,F5 Chp 3,A,B,C,D,A,Picture29.png
,radio,F5 Chp 3,A,B,C,D,B,Picture30.png
,radio,F5 Chp 4,A,B,C,D,B,Picture31.png
,radio,F5 Chp 4,A,B,C,D,D,Picture32.png
,radio,F5 Chp 5,A,B,C,D,C,Picture33.png
,radio,F5 Chp 5,A,B,C,D,A,Picture34.png
,radio,F5 Chp 7,A,B,C,D,A,Picture35.png
,radio,F5 Chp 7,A,B,C,D,A,Picture36.png
,radio,F5 Chp 8,A,B,C,D,B,Picture37.png
,radio,F5 Chp 8,A,B,C,D,D,Picture38.png
,radio,F5 Chp 9,A,B,C,D,D,Picture39.png
,radio,F5 Chp 9,A,B,C,D,B,Picture40.png
