title,type,question,A,B,C,D,answer,image
Penang Set 2 2024 F4,radio,F4 Chp 1,A,B,C,D,B,Picture1.png
,radio,F4 Chp 1,A,B,C,D,C,Picture2.png
,radio,F4 Chp 2,A,B,C,D,C,Picture3.png
,radio,F4 Chp 2,A,B,C,D,A,Picture4.png
,radio,F4 Chp 3,A,B,C,D,A,Picture5.png
,radio,F4 Chp 3,A,B,C,D,B,Picture6.png
,radio,F4 Chp 4,A,B,C,D,B,Picture7.png
,radio,F4 Chp 4,A,B,C,D,A,Picture8.png
,radio,F4 Chp 5,A,B,C,D,B,Picture9.png
,radio,F4 Chp 5,A,B,C,D,C,Picture10.png
,radio,F4 Chp 5,A,B,C,D,C,Picture11.png
,radio,F4 Chp 6,A,B,C,D,D,Picture12.png
,radio,F4 Chp 7,A,B,C,D,C,Picture13.png
,radio,F4 Chp 7,A,B,C,D,B,Picture14.png
,radio,F4 Chp 8,A,B,C,D,D,Picture15.png
,radio,F4 Chp 8,A,B,C,D,A,Picture16.png
,radio,F4 Chp 10,A,B,C,D,C,Picture17.png
,radio,F4 Chp 10,A,B,C,D,C,Picture18.png
,radio,F4 Chp 11,A,B,C,D,D,Picture19.png
,radio,F4 Chp 11,A,B,C,D,B,Picture20.png
,radio,F4 Chp 12,A,B,C,D,B,Picture21.png
,radio,F4 Chp 12,A,B,C,D,A,Picture22.png
