title,type,question,A,B,C,D,answer,image
Perlis 2025 F5,radio,F5 Chp 1,A,B,C,D,C,Picture26.png
,checkbox,F5 Chp 1,A,B,C,D,"C,D",Picture27.png
,radio,F5 Chp 2,A,B,C,D,A,Picture28.png
,radio,F5 Chp 2,A,B,C,D,C,Picture29.png
,radio,F5 Chp 3,A,B,C,D,A,Picture30.png
,radio,F5 Chp 3,A,B,C,D,C,Picture31.png
,radio,F5 Chp 4,A,B,C,D,B,Picture32.png
,radio,F5 Chp 5,A,B,C,D,A,Picture33.png
,radio,F5 Chp 5,A,B,C,D,C,Picture34.png
,radio,F5 Chp 6,A,B,C,D,B,Picture35.png
,radio,F5 Chp 6,A,B,C,D,C,Picture36.png
,radio,F5 Chp 7,A,B,C,D,C,Picture37.png
,radio,F5 Chp 8,A,B,C,D,A,Picture38.png
,radio,F5 Chp 8,A,B,C,D,B,Picture39.png
,radio,F5 Chp 9,A,B,C,D,B,Picture40.png
