title,type,question,A,B,C,D,answer,image
Perlis 2025,radio,F4 Chp 1,A,B,C,D,A,Picture1.png
,radio,F4 Chp 1,A,B,C,D,D,Picture2.png
,radio,F4 Chp 2,A,B,C,D,D,Picture3.png
,radio,F4 Chp 2,A,B,C,D,B,Picture4.png
,radio,F4 Chp 3,A,B,C,D,C,Picture5.png
,radio,F4 Chp 3,A,B,C,D,D,Picture6.png
,radio,F4 Chp 4,A,B,C,D,A,Picture7.png
,radio,F4 Chp 5,A,B,C,D,D,Picture8.png
,radio,F4 Chp 5,A,B,C,D,A,Picture9.png
,radio,F4 Chp 5,A,B,C,D,B,Picture10.png
,radio,F4 Chp 5,A,B,C,D,C,Picture11.png
,radio,F4 Chp 6,A,B,C,D,C,Picture12.png
,radio,F4 Chp 6,A,B,C,D,D,Picture13.png
,radio,F4 Chp 7,A,B,C,D,B,Picture14.png
,radio,F4 Chp 7,A,B,C,D,D,Picture15.png
,checkbox,F4 Chp 8,A,B,C,D,"A,D",Picture16.png
,radio,F4 Chp 8,A,B,C,D,A,Picture17.png
,radio,F4 Chp 8,A,B,C,D,A,Picture18.png
,radio,F4 Chp 9,A,B,C,D,D,Picture19.png
,radio,F4 Chp 9,A,B,C,D,D,Picture20.png
,radio,F4 Chp 9,A,B,C,D,D,Picture21.png
,radio,F4 Chp 10,A,B,C,D,B,Picture22.png
,radio,F4 Chp 11,A,B,C,D,C,Picture23.png
,radio,F4 Chp 11,A,B,C,D,A,Picture24.png
,radio,F4 Chp 12,A,B,C,D,B,Picture25.png
,radio,F5 Chp 1,A,B,C,D,C,Picture26.png
,checkbox,F5 Chp 1,A,B,C,D,"C,D",Picture27.png
,radio,F5 Chp 2,A,B,C,D,A,Picture28.png
,radio,F5 Chp 2,A,B,C,D,C,Picture29.png
,radio,F5 Chp 3,A,B,C,D,A,Picture30.png
,radio,F5 Chp 3,A,B,C,D,C,Picture31.png
,radio,F5 Chp 4,A,B,C,D,B,Picture32.png
,radio,F5 Chp 5,A,B,C,D,A,Picture33.png
,radio,F5 Chp 5,A,B,C,D,C,Picture34.png
,radio,F5 Chp 6,A,B,C,D,B,Picture35.png
,radio,F5 Chp 6,A,B,C,D,C,Picture36.png
,radio,F5 Chp 7,A,B,C,D,C,Picture37.png
,radio,F5 Chp 8,A,B,C,D,A,Picture38.png
,radio,F5 Chp 8,A,B,C,D,B,Picture39.png
,radio,F5 Chp 9,A,B,C,D,B,Picture40.png
