title,type,question,A,B,C,D,answer,image
Selangor 2025 F4,radio,F4 Chp 1,A,B,C,D,,Picture1.png
,radio,F4 Chp 1,A,B,C,D,,Picture2.png
,radio,F4 Chp 2,A,B,C,D,,Picture3.png
,radio,F4 Chp 3,A,B,C,D,,Picture4.png
,radio,F4 Chp 3,A,B,C,D,,Picture5.png
,radio,F4 Chp 4,A,B,C,D,,Picture6.png
,radio,F4 Chp 4,A,B,C,D,,Picture7.png
,radio,F4 Chp 4,A,B,C,D,,Picture8.png
,radio,F4 Chp 5,A,B,C,D,,Picture9.png
,radio,F4 Chp 5,A,B,C,D,,Picture10.png
,radio,F4 Chp 5,A,B,C,D,,Picture11.png
,radio,F4 Chp 6,A,B,C,D,,Picture12.png
,radio,F4 Chp 6,A,B,C,D,,Picture13.png
,radio,F4 Chp 7,A,B,C,D,,Picture14.png
,radio,F4 Chp 8,A,B,C,D,,Picture15.png
,radio,F4 Chp 9,A,B,C,D,,Picture16.png
,radio,F4 Chp 10,A,B,C,D,,Picture17.png
,radio,F4 Chp 10,A,B,C,D,,Picture18.png
,radio,F4 Chp 11,A,B,C,D,,Picture19.png
,radio,F4 Chp 12,A,B,C,D,,Picture20.png
